Institute,City,Degree,Duration,Fee,Deadline,Subject
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,120600,12-02-2026,Psychology
Preston University [kht],Kohat,BS,4 Years,0,30-10-2025,Psychology
Forman Christian College,Lahore,B.Sc. [Hons],4 Years,358200,30-11-2025,Psychology
Green International University,Lahore,BS,4 Years,0,02-09-2025,Psychology
Hajvery University,Lahore,BS,4 Years,150000,26-10-2024,Psychology
Lahore Leads University,Lahore,BS,4 Years,140000,04-09-2025,Psychology
"National College Of Business Administration And Economics, Lahore",Lahore,BS,4 Years,144000,26-02-2023,Psychology
University Of Central Punjab,Lahore,BS,4 Years,197500,10-10-2024,Psychology
University Of Management And Technology,Lahore,BS,4 Years,224750,31-07-2024,Psychology
University Of South Asia,Lahore,BS,4 Years,118000,05-11-2022,Psychology
Mohi-ud-din Islamic University,Mir Pur (ajk),BS,4 Years,0,25-01-2022,Psychology
Institute Of Southern Punjab,Multan,AD,2 Years,0,31-01-2025,Psychology
Institute Of Southern Punjab,Multan,BS,4 Years,0,31-01-2025,Psychology
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Psychology
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,BS,4 Years,0,28-07-2025,Psychology
City University Of Science & Information Technology,Peshawar,BS,4 Years,0,10-11-2025,Psychology
Iqra National University,Peshawar,BS,4 Years,59238,07-02-2026,Psychology
Preston University [pesh],Peshawar,BS,4 Years,0,20-06-2016,Psychology
National University Of Medical Sciences,Rawalpindi,BS,4 Years,300000,16-01-2026,Psychology
University Of Rawalpindi,Rawalpindi,BS,4 Years,55000,14-09-2024,Psychology
University Of Wah,Wah Cantt,BS,4 Years,84000,20-09-2023,Psychology
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,112200,29-01-2026,Psychology
"University Of Malakand, Women Campus, Batkhela",Batkhela,BS,4 Years,0,15-09-2025,Psychology
University Of Sargodha ( Bhakkar Campus ),Bhakkar,BS,4 Years,29300,03-11-2021,Psychology
National University Of Modern Languages ( Faisalabad Campus ),Faisalabad,BS,4 Years,67400,09-12-2025,Psychology
