Institute,City,Degree,Duration,Fee,Deadline,Subject
Salim Habib University,Karachi,BS,4 Years,218000,10-01-2023,Computer Science
Shaheed Benazir Bhutto City University,Karachi,BS,4 Years,315000,30-11--0001,Computer Science
Shaheed Benazir Bhutto Dewan University,Karachi,BS,4 Years,146000,15-02-2026,Computer Science
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,163200,12-02-2026,Computer Science
Sindh Institute Of Management And Technology,Karachi,AD,2 Years,0,21-11-2020,Computer Science
Sindh Institute Of Management And Technology,Karachi,BS,4 Years,0,21-11-2020,Computer Science
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,172800,19-07-2024,Computer Science
Sohail University,Karachi,AD,2 Years,0,17-10-2024,Computer Science
Zia-ud-din Medical University,Karachi,BS,4 Years,190000,26-08-2025,Computer Science
Preston University [kht],Kohat,BS,4 Years,0,30-10-2025,Computer Science
Beaconhouse National University,Lahore,BS,4 Years,169050,22-08-2025,Computer Science
Green International University,Lahore,BS,4 Years,0,02-09-2025,Computer Science
Hajvery University,Lahore,BS,4 Years,175000,26-10-2024,Computer Science
Imperial College Of Business Studies,Lahore,AD,2 Years,0,21-08-2023,Computer Science
Imperial College Of Business Studies,Lahore,BS,4 Years,176040,21-08-2023,Computer Science
Lahore Garrison University,Lahore,BS,4 Years,154135,30-11--0001,Computer Science
Lahore Leads University,Lahore,BS (HONS),4 Years,180000,04-09-2025,Computer Science
Lahore University Of Management Sciences,Lahore,B.Sc. [Hons],4 Years,811100,10-03-2026,Computer Science
Minhaj University,Lahore,BS,4 Years,150000,31-10-2025,Computer Science
Minhaj University,Lahore,AD,2 Years,120000,31-10-2025,Computer Science
"National College Of Business Administration And Economics, Lahore",Lahore,AD,2 Years,0,26-02-2023,Computer Science
"National College Of Business Administration And Economics, Lahore",Lahore,BCS,4 Years,156000,26-02-2023,Computer Science
Pimsat Institute Of Higher Education [lhr],Lahore,BCS (H),4 Years,0,30-11--0001,Computer Science
Qarshi University (lhr),Lahore,BS,4 Years,136000,12-07-2025,Computer Science
Rashid Latif Khan University,Lahore,BS,4 Years,0,25-10-2025,Computer Science
The Superior University,Lahore,B.Sc. [Hons],4 Years,230000,31-01-2026,Computer Science
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,247000,03-01-2026,Computer Science
University Of Central Punjab,Lahore,AD,2 Years,0,10-10-2024,Computer Science
University Of Central Punjab,Lahore,BS,4 Years,329125,10-10-2024,Computer Science
University Of Management And Technology,Lahore,AD,2 Years,125000,01-10-2025,Computer Science
University Of Management And Technology,Lahore,BS,4 Years,362250,01-10-2025,Computer Science
University Of South Asia,Lahore,BS,4 Years,198000,05-11-2022,Computer Science
Mohi-ud-din Islamic University,Mir Pur (ajk),BCS (H),4 Years,56000,15-02-2024,Computer Science
Institute Of Southern Punjab,Multan,BS,4 Years,101250,31-01-2025,Computer Science
Institute Of Southern Punjab,Multan,AD,2 Years,0,31-01-2025,Computer Science
Northern University,Nowshera,BS,4 Years,30250,16-02-2026,Computer Science
Abasyn University,Peshawar,BS,4 Years,102000,01-02-2026,Computer Science
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,BCS (H),4 Years,140000,28-07-2025,Computer Science
City University Of Science & Information Technology,Peshawar,BCS,4 Years,160000,10-11-2025,Computer Science
Iqra National University,Peshawar,BS,4 Years,82824,30-09-2025,Computer Science
Preston University [pesh],Peshawar,BS,2 Years,80000,19-09-2016,Computer Science
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,41500,05-12-2025,Computer Science
Al- Hamd Islamic University,Quetta,BS,4 Years,0,18-08-2024,Computer Science
University Of Rawalpindi,Rawalpindi,BS,4 Years,100000,14-09-2024,Computer Science
The Shaikh Ayaz University,Shikar Pur,BS,4 Years,48500,17-11-2024,Computer Science
Grand Asian University Sialkot,Sialkot,BS,4 Years,0,21-09-2024,Computer Science
Grand Asian University Sialkot,Sialkot,AD,2 Years,0,21-09-2024,Computer Science
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,BS,4 Years,695000,30-05-2024,Computer Science
Hitec University,Taxila,BS,4 Years,162000,30-08-2025,Computer Science
University Of Wah,Wah Cantt,BS,4 Years,146000,20-09-2023,Computer Science
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,121150,29-01-2026,Computer Science
University Of Engineering & Technology ( Abbotabad Campus ),Abbottabad,BS,4 Years,85000,04-07-2025,Computer Science
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,49665,30-06-2024,Computer Science
Comsats University Islamabad ( Attock Campus ),Attock,BS,4 Years,121150,16-01-2026,Computer Science
"Pir Mehr Ali Shah Arid Agriculture University Rawalpindi, Sub Campus",Attock,BS,4 Years,0,08-08-2025,Computer Science
University Of Education ( Attock Campus ),Attock,BS,4 Years,26920,02-09-2025,Computer Science
"Sindh Univeristy ( Laar Campus, Badin )",Badin,BS,4 Years,20500,14-09-2025,Computer Science
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,49665,30-06-2025,Computer Science
University Of Engineering & Technology ( Bannu Campus ),Bannu,BS,4 Years,0,04-07-2025,Computer Science
Hazara University ( Batagram Campus ),Batagram,BCS,4 Years,41300,01-09-2025,Computer Science
"University Of Malakand, Women Campus, Batkhela",Batkhela,BS,4 Years,0,15-09-2025,Computer Science
"Gomal University, Desc",Bhakkar,BS,4 Years,0,26-01-2019,Computer Science
University Of Sargodha ( Bhakkar Campus ),Bhakkar,BS,4 Years,0,03-11-2021,Computer Science
"University Of Agriculture Faisalabad, Sub Campu",Burewala,BS,4 Years,83600,28-07-2025,Computer Science
"Government College University Faisalabad, Chiniot Campus",Chiniot,BS,1.5 Years,0,24-06-2025,Computer Science
University Of Agriculture Faisalabad[sub Campus],Depal Pur,BS,4 Years,0,28-07-2025,Computer Science
"Lasbela University Of Agriculture, Water And Marine Sciences ( Dera Murad Jamali Campus)",Dera Murad Jamali,BS,4 Years,0,14-10-2023,Computer Science
Comsats Institute Of Information Technology (virtual Campus),Faisalabad,BS,4 Years,0,12-09-2014,Computer Science
National University Of Modern Languages ( Faisalabad Campus ),Faisalabad,BS,4 Years,97160,09-12-2025,Computer Science
University College Of Education,Faisalabad,BCS,4 Years,0,14-07-2023,Computer Science
University Of Engineering And Technology[fiasalabad Campus],Faisalabad,BS,4 Years,62427,22-03-2026,Computer Science
University Of Sargodha ( Women Campus Faisalabad ),Faisalabad,BS,4 Years,0,14-10-2017,Computer Science
University Of Sargodha (lyallpur Campus),Faisalabad,BS,4 Years,0,30-09-2017,Computer Science
Shah Abdul Latif Bhitai University (sub Campus Ghotki),Ghotki,BS,4 Years,0,22-09-2025,Computer Science
Rachna College Of Engineering And Technology,Gujranwala,BCS,4 Years,62427,22-03-2026,Computer Science
University Of Sargodha (gujranwala Campus),Gujranwala,BS,4 Years,0,30-09-2017,Computer Science
University Of The Punjab [ Gujranwala Campus ],Gujranwala,BS,4 Years,0,05-08-2025,Computer Science
"Kohat University Of Science And Technology, (sub Campus)",Hangu,BS,4 Years,58700,15-09-2025,Computer Science
"University Of The Poonch Rawalakot, Kahuta-haveli Campus",Haveli (ajk),BS,4 Years,0,20-08-2025,Computer Science
National University Of Modern Languages ( Hyderabad Campus ),Hyderabad,BS,4 Years,104000,09-12-2025,Computer Science
Lahore College For Women University,Jhang,BS,4 Years,0,13-09-2019,Computer Science
University Of The Punjab (jhelum Campus),Jhelum,BS,4 Years,42850,25-09-2025,Computer Science
University Of Education [ Jauharabad Campus ],Joharabad,BS,4 Years,22622,02-09-2025,Computer Science
Universtiy Of Engineering And Technology (sub Campus),Kala Shah Kaku,BS,4 Years,62427,02-06-2025,Computer Science
"Sukkur Iba University, Kandhkot Campus",Kandh Kot,BS,4 Years,0,20-11-2025,Computer Science
Bahria University ( Karachi Campus ),Karachi,BCS,4 Years,122196,17-11-2025,Computer Science
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,BS,4 Years,49850,10-01-2025,Computer Science
National University Of Modern Languages ( Karachi Campus ),Karachi,BS,4 Years,104000,09-12-2025,Computer Science
"Lasbela University Of Agriculture, Water And Marine Sciences ( Wadh Campus )",Khuzdar,BS,4 Years,0,30-11--0001,Computer Science
Sardar Bahadur Khan Women Univrsity( Sub Campus),Khuzdar,BS,4 Years,10740,15-09-2025,Computer Science
Arid Institute Of Management Sciences,Lahore,BS,4 Years,0,29-10-2021,Computer Science
Bahria University ( Lahore Campus ),Lahore,AD,2 Years,75600,08-01-2026,Computer Science
Bahria University ( Lahore Campus ),Lahore,BS,4 Years,122196,08-01-2026,Computer Science
Comsats University Islamabad( Lahore Campus ),Lahore,BS,4 Years,121150,29-12-2025,Computer Science
National University Of Modern Languages ( Lahore  Campus ),Lahore,BS,4 Years,104000,09-12-2025,Computer Science
University Of Gujrat (lahore Campus),Lahore,BS,4 Years,0,25-08-2018,Computer Science
University Of Sargodha ( Lahore Campus ),Lahore,BS,4 Years,0,30-09-2017,Computer Science
"Quaid-e-awam University Of Engineering, Science And Technology, Larkana Campus",Larkana,BS,4 Years,0,18-07-2022,Computer Science
Government College University Faisalabad (layyah Campus),Layyah,AD,2 Years,0,04-09-2023,Computer Science
