Institute,City,Degree,Duration,Fee,Deadline,Subject
"Government College University Faisalabad, Chiniot Campus",Chiniot,BS,4 Years,0,24-06-2025,Sociology
Abdulwali Khan University ( Chitral Campus ),Chitral,BS,4 Years,0,15-08-2016,Sociology
University Of Agriculture Faisalabad[sub Campus],Depal Pur,BS,4 Years,0,28-07-2025,Sociology
University Of Gujrat (lahore Campus),Lahore,BS,4 Years,0,25-08-2018,Sociology
Government College University Faisalabad (layyah Campus),Layyah,BS,4 Years,0,04-09-2023,Sociology
Bahauddin Zakariya University (sub Campus Lodhran ),Lodhran,BS,4 Years,20150,02-01-2026,Sociology
University Of Sargodha ( Mandi Baha-ud-din Campus ),Mandi Baha-ud-din,BS,4 Years,0,30-09-2016,Sociology
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS (HONS),4 Years,0,10-10-2013,Sociology
National College Of Business Administration And Economics ( Bahwal Pur Campus ),Bahawal Pur,BS,4 Years,0,19-10-2025,Sociology
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,50000,18-10-2025,Sociology
National College Of Business Administration And Economics ( Multan Campus ),Multan,BS,4 Years,0,19-10-2025,Sociology
"University Of Management And Technology, Sialkot Campus",Sialkot,BS,4 Years,0,31-01-2019,Sociology
Government Postgraduate College ( Mandian),Abbottabad,BS,4 Years,0,30-11--0001,Sociology
Government Post Graduate College [samanabad],Faisalabad,BS,4 Years,0,23-09-2023,Sociology
"Uaf Community Collge, Jhang Road",Faisalabad,BS,4 Years,0,28-07-2025,Sociology
Government Post Graduate College,Jhang,BS,4 Years,0,30-09-2025,Sociology
Apwa Degree College For Women[jail Road],Lahore,AD,2 Years,0,02-10-2024,Sociology
Government College Of Science[wahdat Road],Lahore,BS,4 Years,0,14-09-2024,Sociology
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Sociology
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Sociology
Government College [quet],Quetta,BS,4 Years,0,05-04-2025,Sociology
Government Girls College,Quetta,BS,4 Years,0,20-04-2025,Sociology
Precedent Public School &  Postgraduate Girls College,Haripur,AD,2 Years,0,30-10-2023,Sociology
Alta Vista College,Islamabad,B.Sc. [Hons],3 Years,0,18-06-2011,Sociology
P S E College,Lahore,BS,4 Years,0,27-08-2019,Sociology
Islamia College Of Commerce,Toba Tek Singh,BS,4 Years,0,29-10-2017,Sociology
South Punjab Institute Of Science & Technology,D.g.khan,BS,4 Years,0,30-10-2017,Sociology
Gulab Devi Post Graduate Medical Institute,Lahore,BS,4 Years,0,30-11--0001,Sociology
Abdul Wali Khan University [palosa Campus],Charsadda,BS,4 Years,41794,26-08-2011,Sociology
University Of Balochistan ( Killa Saifullah Campus ),Killa Saifullah,BS,4 Years,32000,11-08-2025,Sociology
Abdulwali Khan University ( Timergara Campus ),Timergara,BS (HONS),4 Years,35000,18-08-2025,Sociology
