Institute,City,Degree,Duration,Fee,Deadline,Subject
Sarhad University Of Science & Information Technology,Peshawar,BE,4 Years,18500,05-12-2025,Electrical
Grand Asian University Sialkot,Sialkot,BS,4 Years,0,21-09-2024,Electrical
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,BS,4 Years,695000,30-05-2024,Electrical
Hitec University,Taxila,BS,4 Years,220000,30-08-2025,Electrical
University Of Wah,Wah Cantt,B.Sc. [Engg.],4 Years,204000,20-09-2023,Electrical
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,121150,04-08-2025,Electrical
Comsats University Islamabad ( Attock Campus ),Attock,BS,4 Years,121150,11-08-2025,Electrical
University Of Engineering & Technology ( Bannu Campus ),Bannu,B.Sc. [Engg.],4 Years,60000,19-08-2025,Electrical
University Of Engineering And Technology[fiasalabad Campus],Faisalabad,B.Sc. [Engg.],4 Years,62427,22-03-2026,Electrical
Rachna College Of Engineering And Technology,Gujranwala,B.Sc. [Engg.],4 Years,62427,22-03-2026,Electrical
Universtiy Of Engineering And Technology (sub Campus),Kala Shah Kaku,B.Sc. [Engg.],4 Years,62427,11-07-2025,Electrical
Bahria University ( Karachi Campus ),Karachi,BE,4 Years,121550,17-11-2025,Electrical
"Mehran University Of Engineering And Technology ( Szab Campus, Khair Pur )",Khair Pur,BE,4 Years,120000,18-08-2025,Electrical
University Of Engineering & Technology Peshawar ( Kohat Campus ),Kohat,B.Sc. [Engg.],4 Years,85000,19-08-2025,Electrical
Comsats University Islamabad( Lahore Campus ),Lahore,BS,4 Years,121150,17-07-2025,Electrical
"Quaid-e-awam University Of Engineering, Science And Technology, Larkana Campus",Larkana,BE,4 Years,0,10-06-2023,Electrical
University Of Engineering & Technology (narowal Campus),Narowal,BS,4 Years,62427,22-03-2026,Electrical
University Of Engineering & Technology Peshawar ( Jalozai Campus ),Pabbi,B.Sc. [Engg.],4 Years,60000,19-08-2025,Electrical
Comsats University Islamabad ( Sahiwal Campus ),Sahiwal,BS,4 Years,121150,15-08-2025,Electrical
Comsats University Islamabad ( Wah Campus ),Wah,BS,4 Years,121150,01-08-2024,Electrical
National University Of Computer And Emerging Sciences ( Faisalabad Campus ),Faisalabad,BS,4 Years,160000,04-07-2025,Electrical
"Riphah International University, Faisalabad Campus",Faisalabad,B.Sc. [Engg.],4 Years,150000,18-10-2025,Electrical
Abasyn University (sub Campus),Islamabad,BE,4 Years,0,07-02-2023,Electrical
Hamdard University - Islamabad Campus,Islamabad,BE,4 Years,163400,15-07-2023,Electrical
The University Of Lahore ( Islamabad Campus ),Islamabad,BS,4 Years,190000,06-09-2019,Electrical
"Air University, Aerospace & Aviation Campus Kamra",Kamra,BS,4 Years,112050,15-07-2025,Electrical
"Air University, Karachi Campus",Karachi,BS,4 Years,0,25-08-2025,Electrical
Isra University [khi],Karachi,BS,4 Years,260000,09-11-2018,Electrical
National University Of Computer And Emerging Sciences ( Karachi Campus ),Karachi,BS,4 Years,160000,04-07-2025,Electrical
National University Of Computer And Emerging Sciences ( Lahore ),Lahore,BS,4 Years,160000,04-07-2025,Electrical
