Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Haripur,Haripur,BS,4 Years,41559,08-09-2025,Computational Mathematics
Air University,Islamabad,BS,4 Years,0,23-12-2025,Computational Mathematics
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,0,09-12-2025,Computational Mathematics
University Of Karachi,Karachi,BS,4 Years,25500,28-11-2025,Computational Mathematics
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Computational Mathematics
"Air University, Multan Campus",Multan,BS,4 Years,34240,10-01-2026,Computational Mathematics
National College Of Business Administration And Economics ( Bahwal Pur Campus ),Bahawal Pur,BS,4 Years,0,19-10-2025,Computational Mathematics
National College Of Business Administration And Economics ( Multan Campus ),Multan,BS,4 Years,0,19-10-2025,Computational Mathematics
