Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee (PKR per semester),Fee Per Credit Hour (PKR),Program URL,Fee URL,Admission Deadline
University of Central Punjab,Lahore,MBA,Executive MBA,2 Years,"Bachelor’s degree, interview required",UCP Admission Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-management-sciences/school-of-accounting-and-finance/programmes/postgraduate/emba/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Business Administration,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-management-sciences/ucp-business-school/programmes/postgraduate/ms-business-administration/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Accounting & Finance,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-management-sciences/ucp-business-school/programmes/postgraduate/ms-accounting-finance/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Business Administration,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-management-sciences/ucp-business-school/programmes/doctoral/phd-business-administration/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Accounting & Finance,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-management-sciences/school-of-accounting-and-finance/programmes/doctoral/phd-accounting-finance/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Computer Science,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-information-technology-and-computer-science/programmes/postgraduate/mscs/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Software Engineering,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-information-technology-and-computer-science/programmes/postgraduate/ms-software-engineering/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Data Science,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-information-technology-and-computer-science/programmes/postgraduate/ms-data-science-2/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Computer Science,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-information-technology-and-computer-science/programmes/doctoral/phd-computer-science/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Civil Engineering,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-engineering/department-civil-engineering/programmes/postgraduate/ms-civil-engineering/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Electrical Engineering,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-engineering/programmes-2/doctoral/ph-d-electrical-engineering/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Mechanical Engineering,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-engineering/department-civil-engineering/programmes/postgraduate/phd-mechanical-engineering/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Civil Engineering,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-engineering/department-civil-engineering/programmes/postgraduate/phd-civil-engineering/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Clinical Psychology,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-psychology/programmes/postgraduate/ms-psychology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
