Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee URL,Program URL
University of the Punjab,Lahore,BS,BS Computational Physics (Evening) Graduate BS Computational Physics (Morning) Centre of Excellence in Solid State Physics Degree Program Name Graduate BS Biophysics and Nano-biotechnology (Evening) Graduate BS Biophysics and Nano-biotechnology (Self-Support) Graduate BS Biophysics and Nano-biotechnology (Morning) Graduate BS Solid State Physics (Evening) Graduate BS Solid State Physics (Self-Support) Graduate BS Solid State Physics (Morning) Graduate BS Nanoscience and Nanotechnology (Evening) Graduate BS Nanoscience and Nanotechnology (Self-support) Graduate BS Nanoscience and Nanotechnology (Morning) College of Statistical Sciences Degree Program Name Graduate BS Statistics (Regular & Self-Supporting) Graduate BS Biostatistics (Regular & Self-Supporting) Graduate BS Computational Statistics and Data Analytics (Regular) Graduate BS Computational Statistics and Data Analytics (Self-Supporting) Department of Physics Degree Program Name Graduate BS Physics,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Computer Science (Hons),4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Computer Science Graduate BS Computer Science Self-Supporting Department of Data Science Degree Program Name Graduate BS (Data Science) Morning Graduate BS (Data Science) Self Supporting Graduate BS Cyber Security Department of Information Technology Degree Program Name Graduate BS Information Technology (IT) Graduate BS Artificial Intelligence (Morning) Department of Software Engineering Degree Program Name Graduate BS Software Engineering (Morning) Graduate BS Software Engineering (Self Supporting) Faculty of Oriental Learning Department of Kashmiriat Degree Program Name Graduate BS Kashmiryat (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Electronics (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS English (Literature) Self-Supporting Graduate BS English (Literature) Regular Faculty of Behavioral and Social Sciences Centre for Clinical Psychology Degree Program Name Graduate BS Clinical Psychology (Regular) Graduate BS Clinical Psychology (Self-Supporting) Department of Gender Studies Degree Program Name Graduate BS (Hons) Gender Studies Morning Graduate BS (Hons) Gender Studies Replica Graduate BS Gender and Climate Change (Morning & Self-Supporting) Department of Political Science Degree Program Name Graduate BS Political Science (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS English (Morning Program) Graduate BS English (Self Supporting Program) Faculty of Business,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Environmental Sciences,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS French Department of History & Pakistan Studies Degree Program Name Graduate BS History (Morning) Graduate BS Pakistan Studies (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS GIS (Morning & Afternoon) Centre For Integrated Mountain Research (CIMR) Degree Program Name Graduate BS (Disaster Management) Morning College of Earth & Environmental Sciences Degree Program Name Graduate BS Environmental Sciences,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Geography Graduate BS Geography (Replica) Institute of Geology Degree Program Name Graduate BS (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Hons,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Hydrology and Water Resources Management,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Information Management (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Information Technology (Morning Program) Graduate BS Information Technology (Self-Supporting Program) Graduate BS Computer Science (Morning Program) Graduate BS Computer Science (Self-Supporting Program) Faculty of Law Department of Law (Gujranwala Campus) Degree Program Name Graduate LL,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS International Relations (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Islamic Studies (Hadith & Uloom ul Hadith) (M) Graduate BS Islamic Studies (Seerah & History) (M) Graduate BS Islamic Studies (Islamic Economics) (M) Sheikh Zayed Islamic Centre Degree Program Name Graduate BS Islamic Studies Faculty of Law University Law College Degree Program Name Graduate LLB,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Islamic Studies (Quran & Uloom ul Quran) (M) Graduate BS Islamic Studies (Study of World Religions) (M & S,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Journalism Studies (Morning and Self-Supporting) Sub department under School of Communication Studies,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS MATHEMATICS (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Management,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Management (Morning Program) Graduate BS Management (Replica,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Mathematics (Morning) Graduate BS Mathematics (Morning) (After,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Mathematics (Self-Supporting) (After,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Mathematics (Self-Supporting) Graduate BS MATHEMATICS (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Media & Development Communication (Morning,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Media and Development Communication (Replica,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Microbiology and Molecular Genetics (Morning) Institute of Zoology Degree Program Name Graduate BS (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Persian (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Philosophy,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Physical Education (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Physics,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Punjabi (Morning) Institute of Urdu Language & Literature Degree Program Name Graduate BS Urdu (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Social Entrepreneurship (Regular,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
